"Level","Accumulated Ad LTV","Banner Ad LTV","Interstitial Ad LTV","Rewarded Ad LTV","App Open Ad LTV","MREC Ad LTV","Rewarded Interstitial Ad LTV","Native Ads Ad LTV","Audio Ads Ad LTV","Collapsible Banner Ad LTV","In-game Ad LTV","RPM (eCPM)","Ad LTV","Banner Impressions per User","Accumulated Banner LTV","Accumulated Banner Impressions per User","Accumulated Banner Impressions","Banner Revenue per User","Banner Impressions","Banner Engaged Users","Banner RPM (eCPM)","Interstitial Impressions per User","Accumulated Interstitial LTV","Accumulated Interstitial Impressions per User","Accumulated Interstitial Impressions","Interstitial Revenue per User","Interstitial Impressions","Interstitial Engaged Users","Interstitial RPM (eCPM)","Rewarded Impressions per User","Accumulated Rewarded LTV","Accumulated Rewarded Impressions per User","Accumulated Rewarded Impressions","Rewarded Revenue per User","Rewarded Impressions","Rewarded Engaged Users","Rewarded RPM (eCPM)","App Open Impressions per User","Accumulated App Open LTV","Accumulated App Open Impressions per User","Accumulated App Open Impressions","App Open Revenue per User","App Open Impressions","App Open Engaged Users","App Open RPM (eCPM)","MREC Impressions per User","Accumulated MREC LTV","Accumulated MREC Impressions per User","Accumulated MREC Impressions","MREC Revenue per User","MREC Impressions","MREC Engaged Users","MREC RPM (eCPM)","Rewarded Interstitial Impressions per User","Accumulated Rewarded Interstitial LTV","Accumulated Rewarded Interstitial Impressions per User","Accumulated Rewarded Interstitial Impressions","Rewarded Interstitial Revenue per User","Rewarded Interstitial Impressions","Rewarded Interstitial Engaged Users","Rewarded Interstitial RPM (eCPM)","Native Ads Impressions per User","Accumulated Native Ads LTV","Accumulated Native Ads Impressions per User","Accumulated Native Ads Impressions","Native Ads Revenue per User","Native Ads Impressions","Native Ads Engaged Users","Native Ads RPM (eCPM)","Audio Ads Impressions per User","Accumulated Audio Ads LTV","Accumulated Audio Ads Impressions per User","Accumulated Audio Ads Impressions","Audio Ads Revenue per User","Audio Ads Impressions","Audio Ads Engaged Users","Audio Ads RPM (eCPM)","Collapsible Banner Impressions per User","Accumulated Collapsible Banner LTV","Accumulated Collapsible Banner Impressions per User","Accumulated Collapsible Banner Impressions","Collapsible Banner Revenue per User","Collapsible Banner Impressions","Collapsible Banner Engaged Users","Collapsible Banner RPM (eCPM)","In-game Impressions per User","Accumulated In-game LTV","Accumulated In-game Impressions per User","Accumulated In-game Impressions","In-game Revenue per User","In-game Impressions","In-game Engaged Users","In-game RPM (eCPM)"
"1","$0.003","$0.003","","$0","","","","","","","","$1.175","$0.003","2.82","$0.003","2.34","5,107","$0.003","5,107","1,810","$1.093","","","","","","","","","1.13","$0","0.01","17","$0.029","17","15","$25.763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","$0.016","$0.003","$0.001","$0.009","","","","","","","","$2.71","$0.013","5.64","$0.006","6.97","15,227","$0.004","10,120","1,793","$0.675","1.08","$0.001","0.04","81","$0.038","81","75","$35.331","1.11","$0.009","0.15","326","$0.067","309","279","$60.789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","$0.038","$0.003","$0.012","$0.008","","","","","","","","$3.755","$0.024","6.74","$0.009","12.26","26,799","$0.004","11,572","1,718","$0.612","1.07","$0.013","0.47","1,032","$0.028","951","888","$26.04","1.16","$0.016","0.3","646","$0.059","320","277","$51.197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","$0.066","$0.004","$0.015","$0.012","","","","","","","","$3.414","$0.031","10","$0.013","19.74","43,132","$0.005","16,333","1,633","$0.522","1.07","$0.026","1.02","2,230","$0.027","1,198","1,120","$24.931","1.19","$0.027","0.49","1,061","$0.066","415","348","$55.098","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","$0.089","$0.004","$0.014","$0.009","","","","","","","","$3.009","$0.027","9.89","$0.016","26.7","58,343","$0.005","15,211","1,538","$0.506","1.1","$0.038","1.57","3,432","$0.024","1,202","1,093","$22.135","1.2","$0.034","0.65","1,417","$0.055","356","296","$45.348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","$0.132","$0.004","$0.036","$0.012","","","","","","","","$5.472","$0.052","10.3","$0.02","33.55","73,317","$0.005","14,974","1,454","$0.494","1.08","$0.068","2.32","5,061","$0.043","1,629","1,503","$39.83","1.21","$0.044","0.83","1,814","$0.063","397","329","$52.285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","$0.173","$0.004","$0.034","$0.015","","","","","","","","$5.192","$0.053","11.26","$0.023","40.62","88,757","$0.005","15,440","1,371","$0.484","1.11","$0.095","3.05","6,655","$0.041","1,594","1,436","$36.894","1.32","$0.055","1.08","2,363","$0.06","549","415","$45.568","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","$0.215","$0.005","$0.03","$0.02","","","","","","","","$4.416","$0.055","13.89","$0.027","49.08","107,229","$0.007","18,472","1,330","$0.476","1.15","$0.118","3.77","8,232","$0.036","1,577","1,375","$31.644","1.41","$0.07","1.39","3,038","$0.068","675","480","$48.607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","$0.243","$0.004","$0.026","$0.008","","","","","","","","$3.555","$0.038","12.03","$0.03","55.98","122,321","$0.005","15,092","1,255","$0.42","1.11","$0.137","4.41","9,637","$0.032","1,405","1,271","$29.001","1.22","$0.076","1.55","3,395","$0.044","357","292","$35.946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","$0.29","$0.01","$0.028","$0.031","","","","","","","","$2.705","$0.069","29.07","$0.037","72.2","157,760","$0.012","35,439","1,219","$0.405","1.3","$0.156","5.17","11,287","$0.033","1,650","1,267","$25.407","1.82","$0.098","2.12","4,634","$0.07","1,239","681","$38.279","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
