"Level","Level Fail Users","Level Fails","Failure rate","Progress at Fail","P5 Progress at Fail","P10 Progress at Fail","P15 Progress at Fail","P20 Progress at Fail","P25 Progress at Fail","P30 Progress at Fail","P35 Progress at Fail","P40 Progress at Fail","P45 Progress at Fail","P50 Progress at Fail","P55 Progress at Fail","P60 Progress at Fail","P65 Progress at Fail","P70 Progress at Fail","P75 Progress at Fail","P80 Progress at Fail","P85 Progress at Fail","P90 Progress at Fail","P95 Progress at Fail","Users Fail at 0% Progress","Users Retry at 0% Progress","Users Drop at 0% Progress","Users Fail at 5% Progress","Users Retry at 5% Progress","Users Drop at 5% Progress","Users Fail at 10% Progress","Users Retry at 10% Progress","Users Drop at 10% Progress","Users Fail at 15% Progress","Users Retry at 15% Progress","Users Drop at 15% Progress","Users Fail at 20% Progress","Users Retry at 20% Progress","Users Drop at 20% Progress","Users Fail at 25% Progress","Users Retry at 25% Progress","Users Drop at 25% Progress","Users Fail at 30% Progress","Users Retry at 30% Progress","Users Drop at 30% Progress","Users Fail at 35% Progress","Users Retry at 35% Progress","Users Drop at 35% Progress","Users Fail at 40% Progress","Users Retry at 40% Progress","Users Drop at 40% Progress","Users Fail at 45% Progress","Users Retry at 45% Progress","Users Drop at 45% Progress","Users Fail at 50% Progress","Users Retry at 50% Progress","Users Drop at 50% Progress","Users Fail at 55% Progress","Users Retry at 55% Progress","Users Drop at 55% Progress","Users Fail at 60% Progress","Users Retry at 60% Progress","Users Drop at 60% Progress","Users Fail at 65% Progress","Users Retry at 65% Progress","Users Drop at 65% Progress","Users Fail at 70% Progress","Users Retry at 70% Progress","Users Drop at 70% Progress","Users Fail at 75% Progress","Users Retry at 75% Progress","Users Drop at 75% Progress","Users Fail at 80% Progress","Users Retry at 80% Progress","Users Drop at 80% Progress","Users Fail at 85% Progress","Users Retry at 85% Progress","Users Drop at 85% Progress","Users Fail at 90% Progress","Users Retry at 90% Progress","Users Drop at 90% Progress","Users Fail at 95% Progress","Users Retry at 95% Progress","Users Drop at 95% Progress"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","9","11","0.42%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","27","32","1.32%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","31","39","1.58%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","22","25","1.17%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","22","30","1.24%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","49","72","2.85%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","68","121","4.12%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","15","15","0.96%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","118","237","7.82%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","48","76","3.41%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
