"Level","Remain Rate","Abandonment Rate","Play Time","Win Time","Lose Time","Ad Duration","Win Ad Duration","Lose Ad Duration","Level Start Users","Level Start per User","Continuation rate","Completion rate"
"1","100%","2.97%","40s","40s","","","","","2,185","1.04","98.97%","98.03%"
"2","97.03%","3.73%","1m 11s","1m 12s","15s","","","","2,120","1.06","98.36%","97.88%"
"3","93.41%","4.02%","1m 39s","1m 40s","1m 24s","","","","2,041","1.07","98.1%","97.84%"
"4","89.66%","4.34%","2m 23s","2m 24s","1m 42s","","","","1,959","1.09","97.81%","97.81%"
"5","85.77%","4.96%","2m 18s","2m 18s","2m 31s","","","","1,874","1.09","97.32%","97.65%"
"6","81.51%","3.59%","2m 25s","2m 26s","2m 4s","","","","1,781","1.1","97.78%","98.6%"
"7","78.58%","3.84%","2m 46s","2m 49s","1m 48s","","","","1,717","1.14","98.63%","97.5%"
"8","75.56%","5.21%","3m 23s","3m 28s","2m 13s","","","","1,651","1.18","98.12%","96.61%"
"9","71.62%","3.64%","3m 5s","3m 4s","4m 28s","","","","1,565","1.09","98.43%","97.89%"
"10","69.02%","6.7%","6m 32s","6m 51s","4m 36s","","","","1,508","1.4","98.88%","94.36%"
"11","64.39%","3.84%","4m 41s","4m 46s","3m 2s","","","","1,407","1.2","98.26%","97.87%"
"12","61.92%","2.81%","4m 41s","4m 45s","3m 22s","","","","1,353","1.16","99.25%","97.93%"
"13","60.18%","2.74%","3m 48s","3m 49s","3m 31s","","","","1,315","1.14","98.61%","98.63%"
"14","58.54%","3.52%","5m 5s","5m 10s","3m 16s","","","","1,279","1.18","98.72%","97.73%"
"15","56.48%","3.16%","4m 51s","4m 51s","4m 54s","","","","1,234","1.14","98.35%","98.46%"
"16","54.69%","3.35%","4m 40s","4m 42s","4m 2s","","","","1,195","1.18","99.06%","97.57%"
"17","52.86%","3.2%","5m 1s","5m 7s","3m 33s","","","","1,155","1.19","98.85%","97.92%"
"18","51.17%","2.59%","4m 38s","4m 45s","3m 42s","","","","1,118","1.28","99.27%","98.12%"
"19","49.84%","2.75%","5m 42s","5m 44s","4m 36s","","","","1,089","1.17","98.7%","98.53%"
"20","48.47%","6.42%","6m 57s","8m 38s","3m 18s","","","","1,059","1.82","98.8%","94.71%"
"21","45.35%","4.54%","6m 48s","6m 60s","4m 7s","","","","991","1.29","99.06%","96.37%"
"22","43.3%","3.28%","7m 6s","7m 12s","4m 40s","","","","946","1.22","98.39%","98.31%"
"23","41.88%","2.84%","5m 41s","5m 49s","3m 48s","","","","915","1.23","99.22%","97.92%"
"24","40.69%","2.92%","6m 52s","6m 58s","4m 25s","","","","889","1.19","98.52%","98.54%"
"25","39.5%","5.68%","10m 34s","11m 51s","6m 27s","","","","863","1.68","99.51%","94.79%"
"26","37.25%","3.32%","7m 1s","7m 1s","7m 9s","","","","814","1.24","98.99%","97.67%"
"27","36.02%","3.81%","7m 57s","8m 8s","4m 26s","","","","787","1.23","99.61%","96.57%"
"28","34.65%","3.83%","8m 13s","8m 22s","6m 30s","","","","757","1.29","99.05%","97.09%"
"29","33.32%","1.92%","6m 41s","6m 43s","5m 43s","","","","728","1.22","99.58%","98.49%"
"30","32.68%","2.38%","8m 38s","8m 52s","5m 58s","","","","714","1.28","99.43%","98.18%"
"31","31.9%","4.88%","7m 40s","8m 45s","3m 27s","","","","697","1.51","98.96%","96.13%"
"32","30.34%","2.87%","6m 42s","6m 46s","5m 21s","","","","663","1.2","99.08%","98.04%"
"33","29.47%","2.48%","8m 9s","8m 33s","4m 34s","","","","644","1.33","100.16%","97.36%"
"34","28.74%","2.71%","7m 21s","7m 28s","5m 16s","","","","628","1.19","99.35%","97.93%"
"35","27.96%","3.27%","10m 10s","10m 46s","5m 40s","","","","611","1.38","99.49%","97.22%"
"36","27.05%","1.35%","7m 10s","7m 17s","3m 55s","","","","591","1.19","99.66%","98.98%"
"37","26.68%","2.92%","9m 29s","10m 12s","6m 1s","","","","583","1.52","99.82%","97.26%"
"38","25.9%","0.71%","6m 4s","6m 7s","3m 19s","","","","566","1.16","100.18%","99.12%"
"39","25.72%","1.78%","8m 38s","9m 10s","5m 32s","","","","562","1.42","99.46%","98.75%"
"40","25.26%","1.63%","9m 15s","9m 24s","4m 43s","","","","552","1.16","100.18%","98.19%"
"41","24.85%","3.31%","10m 46s","11m 29s","7m 23s","","","","543","1.56","99.81%","96.87%"
"42","24.03%","3.43%","8m 3s","8m 26s","4m 31s","","","","525","1.31","98.83%","97.71%"
"43","23.2%","1.97%","11m 21s","11m 52s","6m 60s","","","","507","1.42","99.6%","98.42%"
"44","22.75%","4.43%","10m 25s","12m 6s","5m 36s","","","","497","1.62","98.55%","96.98%"
"45","21.74%","1.47%","9m 27s","9m 47s","6m 2s","","","","475","1.3","99.36%","99.16%"
"46","21.42%","1.07%","7m 42s","7m 49s","4m 54s","","","","468","1.2","100.65%","98.29%"
"47","21.19%","5.4%","10m 41s","14m 13s","5m 15s","","","","463","2.14","99.55%","95.03%"
"48","20.05%","2.74%","12m 51s","13m 0s","10m 36s","","","","438","1.31","99.53%","97.72%"
